K2001, SoundPro München GmbH, Leopoldstraße 21, München, DE, 80802, https://soundpro-muenchen.de, +49 89 4567890, info@soundpro-muenchen.de
559-3065-0150, Green-GO MCXDEXT 24 Kanal Tischerweiterung, Green-GO, 5
505-4002-0780, MDG Me8, MDG, 2
544-1613-0700, Vari-Lite VL3600 PROFILE IP Movinglight, Touringversion, Vari-Lite, 4
596-8002-0103, Theatrixx xVision Konverter Glasfaser S3 - 3G-SDI, Theatrixx, 5
K2017, Veranstaltungstechnik Leipzig GmbH, Marktplatz 16, Leipzig, DE, 04109, https://veranstaltungstechnik-leipzig.de, +49 341 8877665, kontakt@veranstaltungstechnik-leipzig.de
559-3065-0135, Green-GO MCX 19" Rackstation, 1HE, Green-GO, 3
511-5081-0237, SR1 324 M1-A20, Stagemaker, 6
505-4002-0720, MDG Me2, MDG, 4
599-3000-0160, Green Hippo Hippotizer TAGUS MX Medienserver, Green Hippo, 1
800-5440-0211, Sixty82 M29S 4-Punkt Traverse, Sixty82, 22
K2018, ShowTechnik Ludwigshafen, Ludwigsplatz 8, Ludwigshafen, DE, 67059, https://showtechnik-ludwigshafen.de, +49 621 2233445, info@showtechnik-ludwigshafen.de
511-5083-3310, Stagemaker SL10 508 m1 A20 500 kg D8 Plus, Stagemaker, 5
559-3065-0915, Green-GO BRIDGEX 19" Netzwerk-Interface, Green-GO, 7
544-1611-0210, Vari-Lite VL2600 SE Wash Movinglight, Vari-Lite, 12
596-8002-0500, Theatrixx Konverter 4-fach DP1.2 auf Quad 3G-SDI, Theatrixx, 4
K2019, EventTechnik Bremerhaven GmbH, Rathausplatz 3, Bremerhaven, DE, 27568, https://eventtechnik-bremerhaven.de, +49 471 3344556, info@eventtechnik-bremerhaven.de
505-4090-1000, MDG theFAN, MDG, 4
559-3065-0145, Green-GO MCXD Tischstation, Green-GO, 8
498-3200-0065, SRS DC6-5-JR 6 Kanal DMX-Lichtstellpult, SRS, 3
800-5440-0211, Sixty82 M29S 4-Punkt Traverse, Sixty82, 18
596-8002-1070, Theatrixx Modulsystem Konverter 12G-SDI auf HDMI 2.0, Theatrixx, 5
K2020, AudioCrew Hamburg, Dorotheenstraße 65, Hamburg, DE, 22301, https://audiocrew-hamburg.de, +49 40 2233445, info@audiocrew-hamburg.de
559-3065-0030, Green-GO BPX Beltpack, Green-GO, 20
505-4001-0200, MDG Atmosphere ATMe, MDG, 3
511-5083-3331, Stagemaker SL10 1004 m2 A20 1.000 kg D8 Plus, Stagemaker, 4
544-1613-0700, Vari-Lite VL3600 PROFILE IP Movinglight, Touringversion, Vari-Lite, 6
599-3000-0051, Green Hippo Hippotizer Nevis+, Green Hippo, 2 
